                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.58006,                 1.5558,                 1.6529,                0.59839,                0.67017,                0.66287,                0.50791,                0.35218,                 1.2369,                 1.3225,               0.008086,               0.008086,               0.008086
                     61,                0.57515,                 1.5492,                 1.6359,                0.57919,                0.65183,                0.66632,                0.52166,                0.34531,                 1.2193,                 1.3014,               0.008053,               0.008053,               0.008053
                     62,                0.55142,                 1.5063,                 1.6112,                0.60149,                0.71147,                0.67829,                0.53843,                 0.3354,                 1.1275,                 1.3055,                0.00802,                0.00802,                0.00802
                     63,                0.56686,                 1.5357,                 1.6359,                0.59206,                0.68067,                0.67966,                0.53169,                0.33179,                  1.224,                 1.3006,               0.007987,               0.007987,               0.007987
                     64,                 0.5624,                 1.5005,                 1.6085,                0.70416,                0.60261,                0.68018,                0.53401,                0.33033,                 1.1433,                 1.2862,               0.007954,               0.007954,               0.007954
                     65,                0.55078,                 1.4885,                 1.6155,                0.70696,                 0.6134,                0.70031,                0.54278,                0.35049,                 1.1837,                 1.3143,               0.007921,               0.007921,               0.007921
                     66,                0.54739,                 1.4721,                 1.5945,                0.62037,                0.61624,                 0.6724,                0.52224,                0.33963,                 1.2731,                 1.2927,               0.007888,               0.007888,               0.007888
                     67,                 0.5857,                 1.5093,                 1.6429,                0.69926,                0.57871,                0.66432,                 0.5131,                0.33507,                  1.203,                 1.2865,               0.007855,               0.007855,               0.007855
                     68,                0.54301,                 1.4677,                 1.5986,                0.70986,                0.57276,                 0.6756,                0.51893,                0.36872,                 1.1951,                  1.319,               0.007822,               0.007822,               0.007822
                     69,                0.56537,                 1.5105,                 1.6181,                 0.7301,                0.61421,                0.67969,                 0.5349,                 0.3165,                 1.2263,                 1.2737,               0.007789,               0.007789,               0.007789
                     70,                0.56538,                 1.4647,                 1.6186,                0.62567,                0.63758,                0.62474,                0.48808,                 0.3595,                 1.2774,                 1.3076,               0.007756,               0.007756,               0.007756
                     71,                0.55605,                 1.4226,                 1.5926,                 0.6623,                0.62213,                0.65792,                0.51393,                0.35313,                 1.2264,                 1.2944,               0.007723,               0.007723,               0.007723
